PRODUCTION DATE,Field Name,WELL_BORE_CODE,N_WELL_BORE_CODE,WellBore Name,FLOW_KIND,WELL_TYPE,Downhole Pressure (PSI),Downhole Temperature (Kelvin),Average Tubing Pressure,Annulus Pressure (PSI),AVG WHP (PSI),Choke Size,Oil Production (stb/day),Gas Volume (scf/day),Water Production (stb/day)
2015-07-01,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3061.253047,380.6657445,2659.80958,0.0,401.4434678,0.49163171,16650.38055209455,13636434.368784,4422.30879624997
2015-07-01,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2927.412585,379.3508369,2477.7253,179.4581565,449.6872856,2.403161875,1935.4992065770064,1700523.750812,26184.198943290496
2015-07-01,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3876.514897,372.7019877,3433.135224,217.3802481,443.3796739,2.033550833,1940.8924784569035,1644199.698151,25440.92379830361
2015-07-01,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3216.818149,379.1185771,2550.44235,253.2784147,666.3757992,17.35576917,15373.949451194894,12623629.754149,5265.880983653978
2015-07-01,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,436.2377714,299.7857751,436.2377714,1.178881875,19043.68836524177,16223507.082893,11595.995871231038
2015-07-02,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2896.16672,379.4413006,2447.391566,190.8449309,448.7751541,2.347390417,2240.3208154184967,1813003.437299,7883.999682074034
2015-07-02,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,435.0129261,298.978974,435.0129261,1.11835,16666.059581216312,13376108.577016,360.5048603764345
2015-07-02,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3247.951135,376.75998,2547.45367,0.0,700.497465,21.77518,17981.412377872563,14350317.114331,7069.810127020078
2015-07-02,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3196.856195,379.1336598,2543.409433,252.3107814,653.4467624,16.08869167,14026.907354246718,11063412.459953,7006.513193242108
2015-07-02,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3875.519231,372.7055917,3432.498897,217.3009361,443.0203336,2.008074583,2334.0967126532637,1796194.358265,6030.63231258729
2015-07-03,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,431.104871,299.6415938,431.104871,0.9219375,17675.92460987593,14785683.873960,4634.690535496329
2015-07-03,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3333.012485,375.9853,2533.912265,0.0,799.10022,27.63878,19330.056306514318,16055782.020735,11346.956706359026
2015-07-03,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2910.145372,379.4142687,2459.594642,188.6517606,450.5507304,2.379257083,2054.653003123203,1847700.268319,25811.77732382217
2015-07-03,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3873.770966,372.6991146,3428.927058,218.4413279,444.843908,2.038797083,3205.6406012121683,2541277.121758,3033.4047910395507
2015-07-03,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3195.472373,379.1342131,2543.995849,253.2450889,651.4765235,15.88264625,15854.94763519238,12946078.301021,6585.9188052569725
2015-07-04,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3871.565585,372.6940344,3427.872702,218.0072916,443.6928829,2.011541875,4535.43642811183,3970734.509345,7085.072143690488
2015-07-04,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,432.2057503,299.1335107,432.2057503,1.044334792,19482.440284072138,16296640.139031,5889.29080612018
2015-07-04,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3187.947918,379.1376829,2541.965468,252.1002595,645.9824494,15.89973229,18798.92221251035,15418803.109511,8076.759116102387
2015-07-04,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3404.022465,375.41901,2481.804485,0.0,922.21798,36.17894,22379.886470507732,18210334.879652,3016.617075764288
2015-07-04,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2932.471385,379.3494344,2488.623587,180.3477043,443.8477973,1.963795833,4871.875278783427,4019289.564595,7742.375967246713
2015-07-05,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2905.594686,379.4265806,2461.846748,189.8599218,443.7479376,1.953011667,3823.435136991768,3263859.473385,15361.37324078703
2015-07-05,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,432.2435198,299.4199854,432.2435198,1.062449792,14572.749758392189,11776214.151804,17909.378039363513
2015-07-05,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3465.47303,375.00471,2408.310945,0.0,1057.162085,45.42414,15178.735628942926,12206124.497990,18288.28488513545
2015-07-05,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3185.916942,379.1341325,2542.641782,252.3780553,643.2751604,15.72402125,14186.358778261072,11208484.150967,7465.907002761884
2015-07-05,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3870.968213,372.68994,3428.06071,218.3819111,442.9075025,1.959584792,2297.9464033585837,1797203.732653,6088.004531531181
2015-07-06,DSEAT,DSEAT-001-F-15 D,109.0,001-F-15 D,production,OP,2903.053927,379.4462625,2452.682742,192.4525822,450.3711842,2.407809167,2028.366069435053,1845379.300490,25708.87809388401
2015-07-06,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,428.284041,298.0805268,428.284041,0.767039375,18999.646222693857,16243840.514145,11562.967185578485
2015-07-06,DSEAT,DSEAT-001-F-11 H,106.0,001-F-11,production,OP,3185.473946,379.1303365,2545.037734,251.0076271,640.4362115,15.53263313,17085.508701560608,13563209.985937,8317.940457237703
2015-07-06,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3870.811117,372.68994,3427.28989,218.4677934,443.5212271,1.988526458,1945.6149824856275,1688988.546729,25409.563013185692
2015-07-06,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3528.245995,374.67122,2329.113395,0.0,1199.1326,55.07803,18063.631853649866,14359051.968341,7108.897488959148
2015-07-07,DSEAT,DSEAT-001-F-12 H,107.0,001-F-12,production,OP,0.0,273.15,431.6625108,297.3809199,431.6625108,1.019116667,18473.5527685482,15589777.042076,3853.644828401401
2015-07-07,DSEAT,DSEAT-001-F-14 H,108.0,001-F-14,production,OP,3870.306955,372.68994,3427.998973,217.6305181,442.3079819,1.9265625,4571.00560334176,3973791.008318,7100.289104488016
2015-07-07,DSEAT,DSEAT-001-F-1 C,105.0,001-F-1 C,production,OP,3632.555515,374.59269,2283.21147,0.0,1349.344045,65.53056,15025.426064633632,12061587.342222,18182.060089473536
